,Il,Ilce,Mahalle,Konut Tipi,Oda Sayisi,Bulundugu Kat,Metrekare,Fiyat
8402,Antalya,Kumluca,Kuzca Mh.,Müstakil Ev,2+1,,247,2600000
8403,İstanbul,Ümraniye,Esenşehir Mh.,Bina,1,,730,21500000
8404,Antalya,Manavgat,Şelale Mh.,Daire,3+1,4,170,7550000
8405,İstanbul,Fatih,Hırka-i Şerif Mh.,Daire,4+1,Düz Giriş,150,1600000
8406,Antalya,İbradı,Üzümdere Mh.,Müstakil Ev,4+1,,250,675000
8407,İzmir,Foça,Kozbeyli Mh.,Villa,3+1,,155,12000000
8408,İzmir,Çiğli,Cumhuriyet Mh.,Daire,2+1,Düz Giriş,92,2750000
8409,Konya,Akşehir,Değirmenköy Mh.,Köy Evi,5+1,2,5600,2500000
8410,Antalya,Kaş,İkizce Mh.,Köy Evi,3+1,,4575,5450000
8411,Antalya,Serik,Belek Mh.,Villa,1,Düz Giriş ,300,11600000
8412,Antalya,Alanya,Kestel Mh.,Villa,4+1,,655,22552774
8413,Ankara,Mamak,Yeşilbayır Mh.,Daire,3+1,1,150,2999999
8414,Ankara,Altındağ,Karapürçek Mh.,Daire,3+1,2,130,1459000
8415,İzmir,Konak,Çankaya Mh.,Yalı Dairesi,2+1,4,150,12500000
8416,Ankara,Etimesgut,Yeni Bağlıca Mh.,Villa,4+1,Düz Giriş ,410,13900000
8417,İzmir,Torbalı,Ayrancılar Mh.,Daire,2+1,2,95,1845000
8418,Antalya,Manavgat,Gündoğdu Mh.,Yazlık,2+1,Yüksek Giriş,90,3450000
8419,Antalya,Kepez,Odabaşı Mh.,Villa,3+1,Düz Giriş ,238,10000000
8420,Antalya,Gazipaşa,Koru Mh.,Villa,2+1,,110,3300000
8421,Antalya,Alanya,Mahmutlar Mh.,Villa,5+1,Düz Giriş ,653,28500000
8422,İstanbul,Bahçelievler,Yenibosna Merkez Mh.,Residence,2+1,9,125,5250000
8423,Antalya,Serik,Boğazkent Mh.,Villa,5+1,,145,6450000
8424,Kocaeli,Kartepe,Fatih Sultan Mehmet Mh.,Müstakil Ev,6+1,,260,7475000
8425,İzmir,Konak,Güngör Mh.,Daire,2+1,3,105,1985000
8426,Ankara,Sincan,Fatih Mh.,Daire,2+1,4,95,1560000
8427,İstanbul,Bahçelievler,Siyavuşpaşa Mh.,Daire,3+1,2,120,1975000
8428,Ankara,Sincan,Selçuklu Mh.,Daire,2+1,4,110,1399000
8429,İstanbul,Arnavutköy,Deliklikaya Mh.,Daire,3+1,1,160,4500000
8430,Antalya,Döşemealtı,Yeşilbayır Mh.,Villa,7+1,,350,12500000
8431,Sakarya,Kocaali,Yayla Mh.,Villa,3+1,,195,3650000
8432,İzmir,Foça,Cumhuriyet Mh.,Villa,3+1,,110,9200000
8433,İzmir,Torbalı,Ertuğrul Mh.,Daire,3+1,5,150,2000000
8434,İstanbul,Kağıthane,Talatpaşa Mh.,Daire,1+1,7,75,4100000
8435,Antalya,Alanya,Kargıcak Mh.,Villa,3+1,,180,9425000
8436,Ankara,Mamak,Başak Mh.,Daire,3+1,1,140,2600000
8437,Denizli,Pamukkale,Dokuzkavaklar Mh.,Müstakil Ev,2+1,,140,1700000
8438,İzmir,Menderes,Çukuraltı Mh.,Villa,3+1,,140,3740000
8439,İzmir,Buca,Çamlıkule Mh.,Daire,2+1,-1,85,1535000
8440,İstanbul,Başakşehir,Bahçeşehir 1. Kısım Mh.,Residence,1+1,Düz Giriş ,86,11300000
8441,Ankara,Sincan,Plevne Mh.,Daire,2+1,3,115,1300000
8442,Ankara,Pursaklar,Merkez Mh.,Daire,4+1,7,200,3550000
8443,İstanbul,Çekmeköy,Ömerli Mh.,Villa,6+2,,354,49975000
8444,Bursa,Nilüfer,23 Nisan Mh.,Daire,5+1,7,310,7850000
8445,İzmir,Seferihisar,Camikebir Mh.,Daire,2+1,Düz Giriş,130,3650000
8446,Adana,Çukurova,Yüzüncüyıl Mh.,Müstakil Ev,4+1,,200,3900000
8447,Konya,Akşehir,Yeni Mh.,Müstakil Ev,2+1,,163,650000
8448,Antalya,Döşemealtı,Yeşilbayır Mh.,Villa,5+1,,360,20950000
8449,Balıkesir,Karesi,2. Sakarya Mh.,Daire,3+1,8,143,2350000
8450,İstanbul,Kartal,Yakacık Çarşı Mh.,Daire,3+1,2,135,3695000
8451,İzmir,Çeşme,Şifne Mh.,Villa,3+1,,290,13577000
8452,Eskişehir,Tepebaşı,Şirintepe Mh.,Daire,1+1,3,70,1000000
8453,İstanbul,Kadıköy,Göztepe Mh.,Daire,5+1,1,200,15750000
8454,İstanbul,Kadıköy,Göztepe Mh.,Residence,3+1,6,140,24000000
8455,Antalya,Aksu,Kemerağzı Mh.,Villa,5+1,,1000,35000000
8456,İstanbul,Esenyurt,Talatpaşa Mh.,Daire,2+1,2,110,945000
8457,İstanbul,Bağcılar,Mahmutbey Mh.,Daire,2+1,2,148,7750000
8458,Ankara,Sincan,Mareşal Çakmak Mh.,Daire,3+1,3,125,1890000
8459,Antalya,Konyaaltı,Sarısu Mh.,Villa,6+1,Düz Giriş ,400,40000000
8460,Balıkesir,Edremit,Kızılkeçili Mh.,Müstakil Ev,4+1,,450,16000000
8461,İzmir,Seferihisar,Tepecik Mh.,Müstakil Ev,3+1,,180,5950000
8462,İstanbul,Başakşehir,Bahçeşehir 1. Kısım Mh.,Villa,5+2,,400,28000000
8463,Tekirdağ,Marmaraereğlisi,Yeniçiftlik Mh.,Villa,4+1,,160,3875000
8464,Konya,Meram,Kovanağzı Mh.,Müstakil Ev,6+2,,241,2425000
8465,İzmir,Seferihisar,Cumhuriyet Mh.,Villa,3+1,,155,4750000
8466,Ankara,Bala,Beynam Mh.,Villa,4+1,,220,3600000
8467,Ankara,Pursaklar,Mimar Sinan Mh.,Daire,4+1,15,190,4450000
8468,İstanbul,Esenyurt,Üçevler Mh.,Daire,3+1,-3,140,1920000
8469,Kilis,Kilis Merkez,Albay İbrahim Karaoğlanoğlu Mh.,Daire,3+1,2,170,1900000
8470,İzmir,Torbalı,Karakızlar Mh.,Müstakil Ev,3+1,,193,1200000
8471,Ankara,Pursaklar,Peçenek Mh.,Villa,3+1,,200,4250000
8472,İzmir,Buca,Adatepe Mh.,Daire,2+1,Düz Giriş,80,2050000
8473,Ankara,Sincan,Yenihisar Mh.,Villa,5+1,,300,4950000
8474,İstanbul,Güngören,Merkez Mh.,Daire,2+1,1,90,2600000
8475,İzmir,Bayraklı,R. Şevket İnce Mh.,Daire,2+1,2,85,2550000
8476,İzmir,Bayındır,Hacı İbrahim Mh.,Müstakil Ev,2+1,,110,400000
8477,Ankara,Pursaklar,Fatih Mh.,Daire,3+1,10,173,3825000
8478,İzmir,Çeşme,Alaçatı Mh.,Villa,4+1,,257,17950000
8479,Ankara,Ayaş,Başayaş Mh.,Villa,3+1,,1892,6250000
8480,İstanbul,Esenyurt,Hürriyet Mh.,Daire,4+2,Çatı Katı,270,4229000
8481,Ankara,Pursaklar,Merkez Mh.,Villa,4+1,Düz Giriş ,300,16000000
8482,İstanbul,Beşiktaş,Yıldız Mh.,Daire,2+1,3,115,8200000
8483,İzmir,Menderes,Çukuraltı Mh.,Villa,3+1,,110,4000000
8484,Antalya,Alanya,Mahmutlar Mh.,Residence,1+1,7,70,3050000
8485,Antalya,Alanya,İncekum Mh.,Villa,3+1,Düz Giriş ,190,8758000
8486,İstanbul,Kağıthane,Gürsel Mh.,Residence,2+1,2,75,7000000
8487,Adana,Seyhan,Şehitduran Mh.,Bina,5+1,,110,3500000
8488,Aydın,Didim,Akbük Mh.,Villa,3+1,,140,5700000
8489,İzmir,Seferihisar,Payamlı Mh.,Villa,3+1,,120,3500000
8490,Ankara,Mamak,Lalahan Mh.,Villa,4+1,,200,3450000
8491,Konya,Selçuklu,Sille Mh.,Villa,6+1,,2000,8250000
8492,Ankara,Çankaya,Şehit Cevdet Özdemir Mh.,Daire,3+1,1,120,2275000
8493,İzmir,Seferihisar,Camikebir Mh.,Daire,3+1,3,140,3950000
8494,İzmir,Konak,Murat Reis Mh.,Daire,2+1,Düz Giriş,100,1600000
8495,Ordu,Altınordu,Yeni Mh.,Bina,1,,1276,60000000
8496,Antalya,Elmalı,İplik Pazarı Mh.,Müstakil Ev,8+2,,135,1150000000
8497,Sakarya,Sapanca,Kurtköy Dibektaş Mh.,Villa,4+1,,620,12750000
8498,Konya,Seydişehir,Değirmenci Mh.,Müstakil Ev,3+1,-2,140,1850000
8499,Ankara,Sincan,Menderes Mh.,Daire,3+1,Yüksek Giriş,125,1620000
8500,Antalya,Serik,Kadriye Mh.,Bina,9+,,700,34000000
8501,Tekirdağ,Çerkezköy,Gazi Mustafa Kemalpaşa Mh.,Daire,1+1,Yüksek Giriş,55,1100000
8502,Ankara,Keçiören,Ovacık Mh.,Daire,4+1,4,246,5150000
8503,Antalya,Aksu,Altıntaş Mh.,Residence,2+1,5,90,3350000
8504,Tekirdağ,Marmaraereğlisi,Yeniçiftlik Mh.,Villa,3+1,,140,2500000
8505,Ankara,Gölbaşı,Ballıkpınar Mh.,Villa,9+,Düz Giriş ,1200,32000000
8506,İzmir,Karabağlar,Ali Fuat Cebesoy Mh.,Daire,5+1,Çatı Dubleks,230,9800000
8507,Antalya,Manavgat,Side Mh.,Villa,2+1,,90,4750000
8508,Aydın,Nazilli,Yeşilyurt Mh.,Bina,3+1,,450,2650000
8509,İstanbul,Güngören,Güneştepe Mh.,Daire,3+1,5,300,3800000
8510,İzmir,Karabağlar,Abdi İpekçi Mh.,Bina,2+1,,102,6350000
8511,Ankara,Keçiören,Yayla Mh.,Daire,3+1,Yüksek Giriş,125,2149000
8512,İstanbul,Silivri,Selimpaşa Mh.,Villa,4+2,,310,17000000
8513,İstanbul,Beylikdüzü,Gürpınar Mh.,Villa,4+2,,300,16150000
8514,İzmir,Konak,Zafertepe Mh.,Daire,3+1,7,120,3800000
8515,İstanbul,Beylikdüzü,Adnan Kahveci Mh.,Daire,2+1,2,150,2569999
8516,İzmir,Buca,Çamlıkule Mh.,Daire,3+1,2,125,3120000
8517,Gaziantep,Şehitkamil,Beykent Mh.,Daire,2+1,Düz Giriş,115,1319000
8518,Konya,Akşehir,Doğrugöz Mh.,Müstakil Ev,3+1,,600,2500000
8519,Ankara,Sincan,Pınarbaşı Mh.,Daire,3+1,3,125,1989000
8520,İzmir,Konak,Göztepe Mh.,Yalı Dairesi,2+1,4,155,20000000
8521,İstanbul,Beşiktaş,Konaklar Mh.,Daire,3+1,1,125,8250000
8522,Ankara,Sincan,Andiçen Mh.,Daire,3+1,Yüksek Giriş,110,1689000
8523,İzmir,Buca,Aydoğdu Mh.,Daire,3+1,4,130,3645000
8524,İzmir,Urla,Kalabak Mh.,Villa,3+1,,120,12900000
8525,Ankara,Pursaklar,Fatih Mh.,Daire,3+1,1,140,2990000
8526,İstanbul,Esenyurt,Turgut Özal Mh.,Daire,4+1,Çatı Katı,175,3525000
8527,İstanbul,Gaziosmanpaşa,Mevlana Mh.,Daire,3+1,1,145,3200000
8528,İzmir,Karşıyaka,Nergiz Mh.,Daire,3+1,1,125,9300000
8529,Balıkesir,Edremit,Güre Mh.,Villa,3+1,,190,8000000
8530,Ankara,Mamak,Türközü Mh.,Daire,3+1,Çatı Dubleks,200,1990000
8531,Ankara,Keçiören,Kanuni Mh.,Daire,3+1,Yüksek Giriş,125,2200000
8532,Ankara,Sincan,Plevne Mh.,Daire,3+1,4,150,2100000
8533,İzmir,Torbalı,Yemişlik Mh.,Daire,3+1,4,175,3000000
8534,Ankara,Sincan,Malazgirt Mh.,Daire,3+1,2,140,1340000
8535,İstanbul,Kadıköy,Göztepe Mh.,Residence,2+1,6,110,8250000
8536,İstanbul,Sancaktepe,Yenidoğan Mh.,Daire,2+1,2,95,2200000
8537,Ankara,Keçiören,Ayvalı Mh.,Daire,3+1,1,135,3100000
8538,İstanbul,Esenyurt,Zafer Mh.,Residence,2+1,Çatı Katı,160,3000000
8539,Antalya,Serik,Kadriye Mh.,Villa,4+1,,240,16500000
8540,Kocaeli,Gebze,Ulus Mh.,Bina,1,,303,11000000
8541,Antalya,Serik,Kadriye Mh.,Villa,5+1,,375,15000000
8542,Tekirdağ,Marmaraereğlisi,Yeniçiftlik Mh.,Villa,4+1,,185,5250000
8543,Ankara,Mamak,Yeni Bayındır Mh.,Daire,3+1,1,100,1460000
8544,İzmir,Torbalı,Torbalı Mh.,Daire,3+1,5,130,1500000
8545,Antalya,Kemer,Göynük Mh.,Villa,5+1,Düz Giriş ,315,19000000
8546,Ankara,Yenimahalle,İlkyerleşim Mh.,Villa,4+1,,250,4450000
8547,Ankara,Çankaya,Ayrancı Mh.,Daire,3+1,3,120,4220000
8548,Ankara,Mamak,Başak Mh.,Daire,3+1,4,125,1650000
8549,İzmir,Menderes,Çamönü Mh.,Çiftlik Evi,9+,,3650,10000000
8550,İzmir,Seferihisar,Cumhuriyet Mh.,Yazlık,3+1,Bahçe Dublex,64,4550000
8551,İzmir,Seferihisar,Payamlı Mh.,Villa,3+1,,180,4300000
8552,Gaziantep,Oğuzeli,Körkün Mh.,Villa,2+1,,350,4495000
8553,İzmir,Bergama,Selçuk Mh.,Müstakil Ev,2+1,,100,650000
8554,Antalya,Kepez,Fevzi Çakmak Mh.,Residence,3+1,4,145,4050000
8555,Konya,Selçuklu,Hanaybaşı Mh.,Villa,5+1,Düz Giriş ,500,4500000
8556,İstanbul,Kağıthane,Hamidiye Mh.,Daire,3+1,4,182,23000000
8557,İstanbul,Beylikdüzü,Gürpınar Mh.,Daire,4+2,4,240,5199000
8558,Antalya,Alanya,Soğukpınar Mh.,Villa,4+1,,3415,15200000
8559,İstanbul,Bahçelievler,Cumhuriyet Mh.,Daire,2+1,Düz Giriş,75,1350000
8560,İstanbul,Beşiktaş,Gayrettepe Mh.,Residence,1+1,18,90,10800000
8561,İstanbul,Beylikdüzü,Dereağzı Mh.,Villa,6+2,,650,25750000
8562,İstanbul,Beşiktaş,Mecidiye Mh.,Daire,2+1,1,75,3470000
8563,Antalya,Alanya,Avsallar Mh.,Residence,1+1,4,61,3900000
8564,Ankara,Çankaya,Sancak Mh.,Daire,3+1,9,140,4550000
8565,İstanbul,Büyükçekmece,Bahçelievler Mh.,Müstakil Ev,5+1,,250,20750000
8566,Konya,Selçuklu,Selahaddin Eyyubi Mh.,Müstakil Ev,2+1,,120,4500000
8567,İzmir,Torbalı,Çaybaşı Mh.,Bina,1,,405,5750000
8568,İstanbul,Ataşehir,Barbaros Mh.,Residence,4+1,27,310,40000000
8569,Konya,Selçuklu,Parsana Mh.,Villa,7+1,,350,22500000
8570,İzmir,Torbalı,Ayrancılar Mh.,Daire,2+1,3,140,2200000
8571,Ankara,Çankaya,İlkadım Mh.,Daire,3+1,1,110,2200000
8572,İstanbul,Sultangazi,İsmetpaşa Mh.,Daire,2+1,1,85,2400000
8573,Antalya,Alanya,Tepe Mh.,Villa,3+1,Düz Giriş,170,5300000
8574,KKTC,İskele,Ötüken Köyü,Villa,5+1,,455,12900000
8575,İstanbul,Sarıyer,Maslak Mh.,Residence,1,6,55,4450000
8576,Antalya,Aksu,Hacıaliler Mh.,Müstakil Ev,2+1,,130,2993000
8577,Ankara,Pursaklar,Yunus Emre Mh.,Daire,3+1,1,125,1790000
8578,İstanbul,Beylikdüzü,Cumhuriyet Mh.,Daire,2+1,5,125,2700000
8579,İzmir,Karşıyaka,Aksoy Mh.,Daire,4+1,4,190,7850000
8580,Muğla,Köyceğiz,Toparlar Mh.,Müstakil Ev,6+2,,281,9500000
8581,Tekirdağ,Marmaraereğlisi,Yeniçiftlik Mh.,Villa,5+1,,200,3800000
8582,Antalya,Alanya,Mahmutlar Mh.,Residence,2+1,8,150,6677000
8583,İstanbul,Çatalca,Oklalı Mh.,Müstakil Ev,2+1,,40,10000000
8584,Bursa,Nilüfer,Üçevler Mh.,Bina,3+1,,135,7900000
8585,Trabzon,Akçaabat,Sertkaya Mh.,Bina,1,,350,5750000
8586,Aydın,Didim,Efeler Mh.,Villa,4+1,,192,4750000
8587,Hatay,Erzin,İsali Mh.,Müstakil Ev,3+1,,150,4750000
8588,Tekirdağ,Marmaraereğlisi,Yeniçiftlik Mh.,Villa,4+1,,185,4000000
8589,Antalya,Serik,Kadriye Mh.,Villa,5+1,,420,7500000
8590,Aydın,Nazilli,Çapahasan Mh.,Daire,2+1,2,130,1500000
8591,İstanbul,Küçükçekmece,Fatih Mh.,Residence,2+1,16,90,7000000
8592,Balıkesir,Edremit,Güre Mh.,Müstakil Ev,5+1,,540,17200000
8593,Aydın,Buharkent,Zafer Mh.,Müstakil,4+1,,386,3800000
8594,Ankara,Çankaya,Osman Temiz Mh.,Daire,3+1,1,120,3650000
8595,Balıkesir,Edremit,Altınoluk Mh.,Müstakil Ev,3+2,,170,5500000
8596,Şanlıurfa,Karaköprü,Mehmetçik Mh.,Daire,2+1,1,120,1450000
8597,İstanbul,Esenyurt,Atatürk Mh.,Daire,2+1,Düz Giriş,120,1499000
8598,Ankara,Çankaya,İlkbahar Mh.,Residence,2+1,28,139,6550000
8599,Ankara,Altındağ,Başpınar Mh.,Daire,3+1,1,1230,2179000
8600,İstanbul,Beylikdüzü,Yakuplu Mh.,Daire,2+1,2,120,2699999
8601,Ankara,Çankaya,Prof. Dr. Ahmet Taner Kışlalı Mh.,Villa,5+2,,450,44000000
8602,Balıkesir,Edremit,İskele Mh.,Villa,4+2,,230,9200000
8603,İstanbul,Başakşehir,Kayabaşı Mh.,Daire,5+1,5,295,30000000
8604,Ankara,Mamak,Yeni Bayındır Mh.,Daire,5+1,Düz Giriş,245,3950000
8605,İstanbul,Beylikdüzü,Gürpınar Mh.,Villa,6+2,,550,30490000
8606,İstanbul,Beykoz,Öğümce Mh.,Villa,5+1,,350,16000000
8607,İzmir,Buca,Göksu Mh.,Müstakil Ev,3+1,,105,3200000
8608,İstanbul,Avcılar,Mustafa Kemal Paşa Mh.,Daire,1+1,2,90,1749000
8609,İzmir,Buca,Kuruçeşme Mh.,Daire,1+1,1,65,1550000
8610,Ankara,Keçiören,Yayla Mh.,Daire,3+1,2,150,2850000
8611,Ankara,Bala,Beynam Mh.,Müstakil Ev,1+1,,100,1585000
8612,İzmir,Konak,Yenişehir Mh.,Daire,3+1,5,125,1275000
8613,Antalya,Aksu,Altıntaş Mh.,Villa,2+1,Düz Giriş ,270,8250000
8614,Ankara,Etimesgut,Bağlıca Mh.,Villa,5+1,,500,13750000
8615,Ankara,Etimesgut,Bağlıca Mh.,Villa,6+2,,480,19500000
8616,Antalya,Döşemealtı,Altınkale Mh.,Villa,5+2,,450,19500000
8617,İzmir,Gaziemir,Irmak Mh.,Daire,1+1,Yüksek Giriş,70,2550000
8618,Antalya,Döşemealtı,Altınkale Mh.,Villa,4+1,,280,13500000
8619,Kayseri,Kocasinan,General Emir Mh.,Daire,2+1,4,140,1640000
8620,Ankara,Keçiören,Esertepe Mh.,Daire,3+1,2,135,2575000
8621,Antalya,Alanya,Kargıcak Mh.,Villa,3+1,Düz Giriş ,240,15805000
8622,İstanbul,Şile,Balibey Mh.,Villa,7+2,,433,27000000
8623,İstanbul,Beylikdüzü,Yakuplu Mh.,Bina,9+,,901,28000000
8624,Tekirdağ,Marmaraereğlisi,Yeniçiftlik Mh.,Villa,4+1,,220,5800000
8625,Manisa,Yunusemre,Muradiye Mh.,Daire,3+1,2,145,3000000
8626,Balıkesir,Edremit,Güre Cumhuriyet Mh.,Müstakil Ev,4+2,,200,11000000
8627,Ankara,Keçiören,Çiçekli Mh.,Daire,3+1,Düz Giriş,105,1384000
8628,İstanbul,Maltepe,Fındıklı Mh.,Daire,2+1,2,101,3200000
8629,İstanbul,Beşiktaş,Bebek Mh.,Daire,3+1,Düz Giriş,200,75000000
8630,Antalya,Alanya,Cikcilli Mh.,Residence,2+1,9,115,5300000
8631,İstanbul,Pendik,Sülüntepe Mh.,Daire,2+1,3,90,3100000
8632,Antalya,Serik,Kadriye Mh.,Villa,4+1,,240,6485000
8633,Konya,Ereğli,Orhaniye Mh.,Müstakil,3+1,,2600,5300000
8634,İzmir,Karşıyaka,Tuna Mh.,Daire,1+1,Düz Giriş,70,1650000
8635,İstanbul,Kağıthane,Talatpaşa Mh.,Residence,3+1,11,130,6500000
8636,Konya,Meram,Uluırmak Mh.,Kooperatif,2+1,2,120,710000
8637,Balıkesir,Edremit,Altınoluk Mh.,Villa,4+1,,200,4500000
8638,Aydın,Kuşadası,Güzelçamlı Mh.,Villa,3+1,,160,8500000
8639,Mersin,Yenişehir,Hürriyet Mh.,Villa,5+1,,280,4000000
8640,Mersin,Tarsus,Barbaros Mh.,Daire,5+1,2,240,2850000
8641,Ankara,Çankaya,Prof. Dr. Ahmet Taner Kışlalı Mh.,Villa,7+2,Bahçe Dublex,580,21000000
8642,İstanbul,Sarıyer,Huzur Mh.,Residence,1+1,40,110,11700000
8643,Ankara,Etimesgut,Göksu Mh.,Daire,4+1,10,195,7500000
8644,Konya,Selçuklu,Yazır Mh.,Villa,6+1,,650,8750000
8645,Sakarya,Pamukova,Yenice Mh.,Müstakil Ev,2+1,,100,3550000
8646,Tekirdağ,Marmaraereğlisi,Yeniçiftlik Mh.,Villa,4+1,,310,6500000
8647,Ankara,Sincan,Malazgirt Mh.,Daire,3+1,2,125,1800000
8648,İstanbul,Sarıyer,Rumeli Hisarı Mh.,Daire,2+1,1,100,16750000
8649,Ankara,Pursaklar,Merkez Mh.,Daire,4+1,6,200,3875000
8650,Antalya,Muratpaşa,Güzeloba Mh.,Bina,4+1,,200,7250000
8651,İstanbul,Şile,Akçakese Mh.,Villa,5+1,,330,11450000
8652,İstanbul,Çekmeköy,Merkez Mh.,Daire,3+1,2,135,4800000
8653,Muğla,Bodrum,Akyarlar Mh.,Müstakil Ev,3+1,,130,12000000
8654,Şanlıurfa,Karaköprü,Doğukent Mh.,Daire,3+1,4,175,2640000
8655,İzmir,Seferihisar,Tepecik Mh.,Villa,3+1,,130,7500000
8656,Ankara,Mamak,General Zeki Doğan Mh.,Daire,3+1,1,110,1950000
8657,İstanbul,Bahçelievler,Zafer Mh.,Daire,1+1,Düz Giriş,75,1825000
8658,Ankara,Sincan,29 Ekim Mh.,Daire,3+1,1,140,2850000
8659,Ankara,Altındağ,Örnek Mh.,Daire,2+1,Yüksek Giriş,78,999999
8660,Ankara,Etimesgut,Yeni Bağlıca Mh.,Villa,5+1,,300,16000000
8661,İzmir,Menderes,Çukuraltı Mh.,Villa,3+1,,140,5450000
8662,Ankara,Mamak,Durali Alıç Mh.,Daire,2+1,Düz Giriş,100,1245000
8663,Gaziantep,Şehitkamil,Şirinevler Mh.,Daire,2+1,Düz Giriş,100,1350000
8664,İzmir,Urla,Atatürk Mh.,Villa,3+1,,130,7600000
8665,İzmir,Narlıdere,Limanreis Mh.,Villa,4+2,,348,17950000
8666,İzmir,Torbalı,Muratbey Mh.,Daire,1+1,2,60,1780000
8667,Ankara,Sincan,Atatürk Mh.,Daire,3+1,3,125,1250000
8668,İstanbul,Başakşehir,Bahçeşehir 1. Kısım Mh.,Villa,5+2,,350,25250000
8669,Antalya,Konyaaltı,Molla Yusuf Mh.,Villa,6+1,,600,40000000
8670,Ankara,Etimesgut,Ayyıldız Mh.,Villa,9+,Düz Giriş ,600,13475000
8671,Antalya,Alanya,Yenice Mh.,Köy Evi,1+1,1,4847,12100000
8672,Ankara,Sincan,Malazgirt Mh.,Daire,3+1,1,120,2069000
8673,Gaziantep,Şahinbey,Akyol Mh.,Müstakil Ev,2+1,,125,1070000
8674,İstanbul,Maltepe,İdealtepe Mh.,Daire,2+1,Düz Giriş,90,4300000
8675,Antalya,Konyaaltı,Çakırlar Mh.,Villa,5+2,,330,36000000
8676,İstanbul,Bayrampaşa,Kartaltepe Mh.,Daire,2+1,1,110,5600000
8677,Konya,Selçuklu,Parsana Mh.,Villa,5+1,,270,14099000
8678,İstanbul,Büyükçekmece,Türkoba Mh.,Villa,5+1,,2000,27000000
8679,İzmir,Foça,Mustafa Kemal Atatürk Mh.,Daire,1+1,4,85,4500000
8680,İzmir,Seferihisar,Turabiye Mh.,Villa,3+1,,82,5500000
8681,Konya,Halkapınar,Bahçelievler Mh.,Villa,3+2,,450,9750000
8682,İzmir,Menemen,Yıldırım Mh.,Çiftlik Evi,4+1,,250,22500000
8683,İzmir,Dikili,Cumhuriyet Mh.,Villa,3+1,,140,7000000
8684,Muğla,Bodrum,Dirmil Mh.,Villa,2+1,,120,10500000
8685,İstanbul,Bahçelievler,Şirinevler Mh.,Daire,3+1,5,115,1600000
8686,İzmir,Konak,Göztepe Mh.,Daire,3+1,2,130,2750000
8687,İstanbul,Silivri,Cumhuriyet Mh.,Villa,4+1,,200,9900000
8688,Ankara,Etimesgut,Yeni Bağlıca Mh.,Villa,5+2,,340,12500000
8689,İstanbul,Beylikdüzü,Adnan Kahveci Mh.,Daire,3+1,2,145,3449999
8690,İzmir,Karabağlar,Üçkuyular Mh.,Daire,3+1,Yüksek Giriş,125,4250000
8691,İzmir,Seferihisar,Ulamış Mh.,Villa,5+1,,250,8100000
8692,Antalya,Alanya,Bektaş Mh.,Villa,3+1,,250,13000000
8693,Ankara,Mamak,Akşemsettin Mh.,Daire,3+1,3,170,2750000
8694,Samsun,Atakum,Alanlı Mh.,Daire,3+1,4,171,4600000
8695,Antalya,Alanya,Kargıcak Mh.,Villa,3+1,Düz Giriş,320,9380000
8696,İzmir,Bergama,Zafer Mh.,Daire,2+1,2,85,1600000
8697,Antalya,Alanya,Konaklı Mh.,Residence,3+1,Düz Giriş,150,6000000
8698,İzmir,Bergama,Atatürk Mh.,Bina,1,,120,2750000
8699,Antalya,Alanya,Kargıcak Mh.,Villa,3+1,,500,14000000
8700,İzmir,Bergama,Gaziosmanpaşa Mh.,Daire,1+1,3,65,1300000
8701,Balıkesir,Edremit,Güre Mh.,Müstakil Ev,3+1,,250,6050000
8702,İstanbul,Başakşehir,Bahçeşehir 2. Kısım Mh.,Villa,5+2,,340,12500000
8703,Aydın,Didim,Efeler Mh.,Daire,1+1,1,65,1735000
8704,Antalya,Serik,Kadriye Mh.,Villa,3+1,Düz Giriş ,450,13990000
8705,Balıkesir,Edremit,Akçay Mh.,Daire,3+1,2,135,1795000
8706,Mersin,Toroslar,Sağlık Mh.,Bina,1,,153,1999000
8707,Ankara,Pursaklar,Fatih Mh.,Daire,3+1,3,130,2175000
8708,İstanbul,Bahçelievler,Cumhuriyet Mh.,Bina,3+1,,3050,110000000
8709,İstanbul,Sarıyer,Maslak Mh.,Residence,1+1,2,85,8300000
8710,İstanbul,Üsküdar,Ferah Mh.,Daire,4+2,5,170,7200000
8711,İstanbul,Bakırköy,Cevizlik Mh.,Daire,2+1,3,87,4850000
8712,İstanbul,Kağıthane,Hamidiye Mh.,Residence,2+1,8,106,6750000
8713,Konya,Çumra,İçeriçumra Mh.,Çiftlik Evi,3+1,,140,6600000
8714,İzmir,Karabağlar,Uğur Mumcu Mh.,Daire,2+1,3,100,930000
8715,Ankara,Sincan,Malazgirt Mh.,Daire,3+1,5,125,2290000
8716,İzmir,Seferihisar,Payamlı Mh.,Villa,2+1,,135,5500000
8717,İzmir,Menderes,Barbaros Mh.,Villa,6+1,,450,17850000
8718,Gaziantep,Şahinbey,Ertuğrulgazi Mh.,Daire,3+1,1,165,2170000
8719,İstanbul,Esenyurt,Örnek Mh.,Daire,2+1,4,105,2300000
8720,İzmir,Torbalı,Muratbey Mh.,Daire,2+1,Yüksek Giriş,125,2500000
8721,Muğla,Ortaca,Karaburun Mh.,Villa,2+1,,120,3550000
8722,Ankara,Sincan,Törekent Mh.,Müstakil,3+1,,150,3450000
8723,Antalya,Kepez,Duacı Mh.,Villa,7+2,,2450,70000000
