,Il,Ilce,Mahalle,Konut Tipi,Oda Sayisi,Bulundugu Kat,Metrekare,Fiyat
180,Antalya,Alanya,Bektaş Mh.,Villa,5+2,Düz Giriş ,540,45000000
181,İzmir,Foça,Cumhuriyet Mh.,Villa,3+1,,110,7200000
182,Konya,Selçuklu,Sille Ak Mh.,Villa,6+1,,500,6500000
183,Ankara,Gölbaşı,Ballıkpınar Mh.,Villa,5+1,,350,17000000
184,İstanbul,Çekmeköy,Koçullu Mh.,Müstakil Ev,3+1,,450,6000000
185,Ankara,Etimesgut,Piyade Mh.,Daire,5+1,3,350,2900000
186,İstanbul,Bahçelievler,Hürriyet Mh.,Daire,2+1,4,100,3075000
187,İzmir,Bornova,Atatürk Mh.,Daire,3+1,3,110,3950000
188,Ankara,Çankaya,Yaşamkent Mh.,Villa,6+4,,400,14250000
189,İstanbul,Bakırköy,Zuhuratbaba Mh.,Daire,2+1,3,100,3450000
190,Ankara,Sincan,29 Ekim Mh.,Daire,3+1,2,145,2499000
191,Ankara,Çankaya,Yakupabdal Mh.,Villa,4+2,,160,4800000
192,Antalya,Alanya,Kargıcak Mh.,Villa,4+1,,250,11100000
193,Konya,Selçuklu,Sille Ak Mh.,Villa,4+1,,210,1111111
194,İstanbul,Tuzla,İçmeler Mh.,Daire,2+1,Düz Giriş,82,2500000
195,Ankara,Pursaklar,Yunus Emre Mh.,Daire,3+1,3,120,1950000
196,Ankara,Keçiören,Aktepe Mh.,Daire,4+1,4,160,1980000
197,İstanbul,Büyükçekmece,Türkoba Mh.,Villa,5+2,,450,44500000
198,İstanbul,Beylikdüzü,Cumhuriyet Mh.,Daire,2+1,-1,100,1000000
199,Konya,Selçuklu,Kosova Mh.,Villa,4+1,,200,2750000
200,İstanbul,Beylikdüzü,Marmara Mh.,Daire,2+1,Yüksek Giriş,90,1949000
201,İstanbul,Esenyurt,Sultaniye Mh.,Daire,2+1,4,100,1554000
202,Antalya,Serik,Kadriye Mh.,Villa,4+1,,150,4250000
203,Ankara,Etimesgut,İstasyon Mh.,Müstakil Ev,6+2,,350,4985000
204,İzmir,Bayındır,Hacı İbrahim Mh.,Müstakil Ev,2+1,,148,1400000
205,İstanbul,Üsküdar,Küçüksu Mh.,Daire,3+1,1,150,6000000
206,İzmir,Konak,Güzelyalı Mh.,Yalı Dairesi,2+1,5,150,11450000
207,Antalya,Alanya,Demirtaş Mh.,Villa,6+1,Düz Giriş ,624,12900000
208,Konya,Selçuklu,Erenköy Mh.,Müstakil Ev,3+1,,165,9250000
209,İstanbul,Sultangazi,Yunus Emre Mh.,Daire,2+1,-1,90,1948000
210,İzmir,Buca,Barış Mh.,Daire,2+1,Bahçe Dublex,80,1750000
211,İstanbul,Sarıyer,Maden Mh.,Bina,1,,2600,103000000
212,Ankara,Pursaklar,Merkez Mh.,Daire,3+1,1,125,2150000
213,İzmir,Dikili,Çandarlı Mh.,Villa,3+1,,266,6900000
214,Antalya,Alanya,Mahmutlar Mh.,Residence,2+1,3,130,5495000
215,Konya,Karatay,Çatalhüyük Mh.,Müstakil Ev,6+2,,125,5500000
216,Antalya,Alanya,Tosmur Mh.,Daire,3+1,8,140,7900000
217,Konya,Selçuklu,Buhara Mh.,Villa,5+1,,297,8500000
218,İzmir,Bornova,Evka 4 Mh.,Daire,2+1,5,66,1800000
219,Balıkesir,Edremit,Akçay Mh.,Daire,1+1,1,70,2000000
220,İzmir,Konak,Mehmet Ali Akman Mh.,Daire,3+1,6,135,4300000
221,Samsun,İlkadım,Saitbey Mh.,Daire,1+1,Yüksek Giriş,65,480000
222,İzmir,Konak,Namık Kemal Mh.,Müstakil Ev,2+1,,80,1250000
223,İzmir,Bornova,Yakaköy Mh.,Müstakil Ev,2+1,,340,2125000
224,Ankara,Pursaklar,Merkez Mh.,Villa,5+1,,290,5450000
225,İstanbul,Kağıthane,Çeliktepe Mh.,Residence,1+1,10,71,4975000
226,Balıkesir,Burhaniye,Öğretmenler Mh.,Villa,3+1,,220,6250000
227,İzmir,Buca,Yaylacık Mh.,Daire,2+0,-1,65,1335000
228,Antalya,Alanya,Kargıcak Mh.,Villa,5+1,,450,30000000
229,İzmir,Urla,Torasan Mh.,Villa,4+1,,350,15950000
230,Ankara,Polatlı,Şeyhali Mh.,Çiftlik Evi,2+1,,100,970000
231,Muğla,Bodrum,Kumbahçe Mh.,Müstakil Ev,4+2,,240,32500000
232,Ankara,Etimesgut,Yeni Bağlıca Mh.,Villa,5+1,,250,13500000
233,Ankara,Çankaya,Alacaatlı Mh.,Villa,6+2,,500,38500000
234,İzmir,Seferihisar,Payamlı Mh.,Villa,3+1,,135,4950000
235,İzmir,Seferihisar,Turabiye Mh.,Daire,1+1,Düz Giriş,80,1750000
236,İstanbul,Beylikdüzü,Yakuplu Mh.,Daire,2+1,2,120,3049000
237,İstanbul,Gaziosmanpaşa,Merkez Mh.,Residence,1+1,3,62,3340000
238,Konya,Selçuklu,Buhara Mh.,Müstakil Ev,9+,,880,21800000
239,İstanbul,Avcılar,Cihangir Mh.,Daire,3+1,3,140,1850000
240,Antalya,Korkuteli,Kevzer Mh.,Villa,4+1,,362,15500000
241,İstanbul,Pendik,Kurtköy Mh.,Daire,3+2,Çatı Dubleks,225,5345000
242,Ankara,Sincan,Malazgirt Mh.,Daire,2+1,Düz Giriş,85,1249000
243,Antalya,Kemer,Kuzdere Mh.,Villa,4+1,Düz Giriş ,230,7500000
244,İzmir,Bornova,Kemalpaşa Mh.,Bina,1,,300,32000000
245,Ankara,Polatlı,Gazi Mh.,Daire,3+1,Yüksek Giriş,135,1550000
246,İzmir,Dikili,Salimbey Mh.,Daire,2+1,3,90,3200000
247,İzmir,Buca,Yenigün Mh.,Daire,2+1,2,102,3170000
248,Ankara,Etimesgut,Yeni Bağlıca Mh.,Villa,5+1,,250,5990000
249,Ankara,Bala,Kartaltepe Mh.,Müstakil,6+3,,455,3250000
250,İstanbul,Kadıköy,Fikirtepe Mh.,Residence,1+1,19,65,8200000
251,Antalya,Kaş,Gelemiş Mh.,Villa,3+1,,350,12000000
252,İstanbul,Kartal,Yunus Mh.,Residence,3+1,17,125,9250000
253,İstanbul,Bağcılar,Fevzi Çakmak Mh.,Daire,3+1,Çatı Dubleks,150,4250000
254,Sakarya,Karasu,Yalı Mh.,Daire,1+1,Yüksek Giriş,60,1249000
255,Antalya,Kumluca,Yazır Mh.,Villa,2+1,,115,12500000
256,İzmir,Çeşme,Dalyan Mh.,Villa,7+2,,600,66000000
257,İstanbul,Küçükçekmece,Cennet Mh.,Bina,3+1,,1000,50000000
258,Antalya,Alanya,Saray Mh.,Residence,2+1,2,90,7000000
259,İzmir,Menemen,Kazımpaşa Mh.,Villa,4+1,,170,8450000
260,Ankara,Etimesgut,Yeni Bağlıca Mh.,Villa,5+1,,350,7500000
261,Eskişehir,Tepebaşı,Çamlıca Mh.,Daire,3+1,1,140,2750000
262,İzmir,Buca,Şirinkapı Mh.,Daire,2+1,1,90,2700000
263,Antalya,Döşemealtı,Altınkale Mh.,Villa,5+1,,380,15880000
264,İstanbul,Ümraniye,Esenşehir Mh.,Bina,3+1,,190,9100000
265,İstanbul,Bahçelievler,Zafer Mh.,Bina,3+1,,167,8000000
266,İzmir,Karabağlar,Yaşar Kemal Mh.,Daire,3+1,8,120,2455000
267,Adana,Sarıçam,Suluca Mh.,Müstakil Ev,3+1,,412,4600000
268,İstanbul,Esenler,Fevzi Çakmak Mh.,Daire,2+1,1,125,1750000
269,Adana,Çukurova,Yüzüncüyıl Mh.,Daire,3+1,17,130,3950000
270,İstanbul,Beşiktaş,Dikilitaş Mh.,Daire,1+1,Düz Giriş,85,4250000
271,Konya,Selçuklu,Hanaybaşı Mh.,Villa,6+1,,300,4600000
272,İstanbul,Başakşehir,Ziya Gökalp Mh.,Daire,2+1,7,106,6325000
273,İstanbul,Kağıthane,Gültepe Mh.,Residence,1+1,11,46,3000000
274,İstanbul,Çekmeköy,Koçullu Mh.,Villa,5+1,,521,35000000
275,İstanbul,Beylikdüzü,Adnan Kahveci Mh.,Villa,6+2,,650,29999999
276,Ankara,Keçiören,Yayla Mh.,Daire,2+1,Düz Giriş,85,1385000
277,İzmir,Menemen,Yayla Mh.,Villa,4+1,,370,14000000
278,İzmir,Karabağlar,Esenyalı Mh.,Daire,3+1,-1,120,2795000
279,İstanbul,Beşiktaş,Dikilitaş Mh.,Residence,3+1,11,232,31200000
280,Kilis,Kilis Merkez,Ekrem Çetin Mh.,Daire,1+1,3,55,590000
281,İstanbul,Çekmeköy,Hamidiye Mh.,Daire,3+1,Düz Giriş,130,2700000
282,İstanbul,Beylikdüzü,Marmara Mh.,Villa,8+2,,600,33000000
283,Afyonkarahisar,İhsaniye,Ablak Köyü,Müstakil Ev,3+1,,120,1520000
284,İzmir,Konak,Çankaya Mh.,Daire,3+1,3,125,3250000
285,Balıkesir,Edremit,Akçay Mh.,Daire,1+1,1,70,1950000
286,İstanbul,Sancaktepe,Veysel Karani Mh.,Daire,2+1,1,80,2150000
287,Konya,Selçuklu,Erenköy Mh.,Bina,3+1,,160,7000000
288,Ankara,Pursaklar,Saray Fatih Mh.,Villa,6+1,,290,14500000
289,Ankara,Sincan,Mustafa Kemal Mh.,Daire,4+1,4,155,2449000
290,Trabzon,Ortahisar,Pelitli Mh.,Bina,3+1,,90,9750000
291,Antalya,Alanya,Kargıcak Mh.,Villa,6+1,,750,35000000
292,İstanbul,Büyükçekmece,Pınartepe Mh.,Villa,5+2,,550,22449000
293,Kayseri,Kocasinan,Yakut Mh.,Daire,4+1,4,230,3850000
294,İstanbul,Maltepe,Altıntepe Mh.,Daire,2+1,Düz Giriş,75,2800000
295,İstanbul,Esenyurt,Zafer Mh.,Daire,3+1,19,164,5150000
296,İzmir,Buca,Vali Rahmi Bey Mh.,Daire,4+1,5,140,3500000
297,İzmir,Karabağlar,Esenyalı Mh.,Daire,2+1,Düz Giriş,75,3750000
298,İzmir,Menderes,Mithatpaşa Mh.,Villa,4+1,,200,7600000
299,Antalya,Alanya,Avsallar Mh.,Residence,2+1,Çatı Dubleks,120,9570000
